GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices
1.34,1.587,0.986,0.596
1.383,1.573,0.996,0.592
1.488,1.582,1.028,0.603
1.38,1.624,1.026,0.591
1.396,1.522,0.999,0.557
1.452,1.526,1.052,0.572
1.387,1.487,1.009,0.574
1.303,1.557,1.026,0.585
1.365,1.505,1.039,0.584
1.376,1.475,1.016,0.532
1.372,1.548,1.036,0.557
1.034,1.441,0.963,0.558
1.276,1.455,1.029,0.371
1.609,1.479,1.012,0.526
1.333,1.538,0.996,0.45
1.499,1.553,0.999,0.516
1.373,1.454,0.987,0.495
1.356,1.504,0.986,0.473
1.433,1.457,0.874,0.454
1.269,1.487,0.92,0.457
1.503,1.31,0.825,0.598
1.3,1.52,0.999,0.564
1.07,1.323,0.861,0.433
1.324,1.472,1.045,0.436
1.368,1.43,0.914,0.351
1.159,1.369,0.92,0.357
0.8,1.269,0.746,0.535
1.403,1.357,0.795,0.439
1.684,1.313,0.871,0.555
1.286,1.484,1.062,0.362
1.149,1.442,0.91,0.516
1.004,1.439,0.802,0.39
1.124,1.465,0.891,0.523
1.572,1.463,1.141,0.556
0.794,1.242,0.789,0.43
1.294,1.488,1.039,0.231
1.362,1.368,0.871,0.536
1.246,1.504,0.881,0.334
1.231,1.477,0.713,0.489
1.206,1.438,0.884,0.483
0.745,1.529,0.756,0.631
1.238,1.515,0.818,0.291
0.985,1.41,0.841,0.47
1.258,1.523,0.953,0.564
0.694,1.325,0.835,0.435
0.882,1.232,0.758,0.489
1.092,1.432,0.881,0.471
1.162,1.232,0.825,0.462
1.263,1.223,1.042,0.406
0.912,1.312,0.868,0.498
1.5,1.319,0.808,0.493
1.05,1.409,0.828,0.557
1.187,1.465,0.812,0.264
1.301,1.219,1.036,0.159
1.237,1.528,0.874,0.495
0.831,1.478,0.831,0.49
1.12,1.402,0.798,0.498
1.327,1.419,1.088,0.445
0.642,1.236,0.828,0.507
1.173,1.508,0.729,0.41
0.776,1.209,0.706,0.511
1.201,1.41,0.828,0.199
0.855,1.475,0.777,0.514
1.263,1.252,1.042,0.417
0.96,1.274,0.854,0.455
1.221,1.431,0.999,0.508
0.677,0.886,0.535,0.313
1.183,1.452,0.726,0.334
0.807,1.293,0.657,0.558
1.004,1.383,0.854,0.282
0.685,1.328,0.739,0.245
1.044,1.303,0.673,0.416
1.051,1.361,0.871,0.197
0.493,1.098,0.718,0.389
1.155,1.266,0.914,0.296
1.438,1.277,1.122,0.44
1.015,1.401,0.779,0.497
0.945,1.212,0.845,0.212
1.183,1.36,0.808,0.195
1.221,1.171,0.828,0.508
1.067,1.465,0.789,0.235
1.181,1.156,0.999,0.067
0.948,1.531,0.667,0.317
0.983,1.294,0.838,0.345
0.696,1.111,0.245,0.426
0.551,1.438,0.723,0.508
1.052,1.538,0.657,0.394
1.002,1.16,0.785,0.086
0.801,0.782,0.782,0.418
1.043,1.147,0.769,0.351
0.987,1.224,0.815,0.216
0.931,1.203,0.66,0.491
1.029,1.125,0.893,0.521
0.741,1.346,0.851,0.543
0.813,1.321,0.604,0.457
0.549,0.91,0.331,0.381
1.092,1.513,0.815,0.311
0.611,0.868,0.486,0.381
0.569,0.808,0.232,0.352
0.446,1.226,0.677,0.439
0.837,1.225,0.815,0.383
0.393,0.437,0.397,0.349
0.673,0.799,0.508,0.372
1.057,1.183,0.571,0.295
0.764,1.03,0.551,0.547
0.96,1.351,0.469,0.389
0.947,0.848,0.874,0.383
0.96,1.427,0.805,0.154
0.574,1.122,0.637,0.609
0.657,1.247,0.672,0.225
0.45,1.134,0.571,0.292
0,0.698,0.268,0.559
0.879,1.313,0.477,0.401
0.138,0.774,0.366,0.318
0.331,1.056,0.38,0.255
0.85,1.055,0.815,0.283
1.1,0.842,0.785,0.305
0.38,0.829,0.375,0.332
0.886,0.666,0.752,0.346
0.308,0.939,0.428,0.382
0.512,0.983,0.581,0.431
0.57,1.167,0.489,0.066
0.204,0.986,0.39,0.494
0.921,1,0.815,0.167
0.562,0.928,0.723,0.527
1.043,0.98,0.574,0.241
0.094,1.125,0.357,0.269
0.385,1.105,0.308,0.327
0.268,0.841,0.242,0.309
0.949,1.265,0.831,0.47
0.71,1.181,0.555,0.525
0.35,0.766,0.192,0.174
0.82,1.39,0.739,0.178
0.336,1.033,0.532,0.344
0.811,1.149,0,0.313
0.332,1.069,0.443,0.356
0.913,1.039,0.644,0.241
0.578,1.058,0.426,0.431
0.275,0.572,0.41,0.293
0.755,0.765,0.588,0.498
0.073,0.922,0.443,0.37
0.274,0.757,0.505,0.142
0.274,0.916,0.555,0.148
0.489,1.169,0.168,0.359
0.046,0.447,0.38,0.22
0.366,1.114,0.433,0.361
0.323,0.688,0.449,0.026
1.041,1.145,0.538,0.455
0.619,0.378,0.44,0.013
0.191,0.56,0.495,0.443
0.287,1.163,0.463,0.143
0.359,0.711,0.614,0.555
0.476,0.885,0.499,0.417
0.35,0.517,0.361,0
0.026,0,0.105,0.225
0.306,0.575,0.295,0.01
